"AC_NO,N,10,0","AC_NAME,C,254",Result
120,Ichchapuram,TDP
121,Palasa,TDP
122,Tekkali,TDP
123,Pathapatnam,YSRC
124,Srikakulam,TDP
125,Amadalavalasa,TDP
126,Etcherla,TDP
127,Narasannapeta,TDP
128,Rajam (SC),YSRC
129,Palakonda (ST),YSRC
130,Kurupam (ST),YSRC
131,Parvathipuram (SC),TDP
132,Salur (ST),YSRC
133,Bobbili,YSRC
134,Cheepurupalle,TDP
135,Gajapathinagaram,TDP
136,Nellimarla,TDP
137,Vizianagaram,TDP
138,Srungavarapukota,TDP
139,Bhimili,TDP
140,Visakhapatnam East,TDP
141,Visakhapatnam South,TDP
142,Visakhapatnam North,BJP
143,Visakhapatnam West,TDP
144,Gajuwaka,TDP
145,Chodavaram,TDP
146,Madugula,YSRC
147,Araku Valley (ST),YSRC
148,Paderu (ST),YSRC
149,Anakapalle,TDP
150,Pendurthi,TDP
151,Yelamanchili,TDP
152,Payakaraopet (SC),TDP
153,Narsipatnam,TDP
154,Tuni,YSRC
155,Prathipadu,YSRC
156,Pithapuram,IND
157,Kakinada Rural,TDP
158,Peddapuram,TDP
159,Anaparthy,TDP
160,Kakinada City,TDP
161,Ramachandrapuram,TDP
162,Mummidivaram,TDP
163,Amalapuram (SC),TDP
164,Razole (SC),TDP
165,Gannavaram (SC),TDP
166,Kothapeta,YSRC
167,Mandapeta,TDP
168,Rajanagaram,TDP
169,Rajahmundry City,BJP
170,Rajahmundry Rural,TDP
171,Jaggampeta,YSRC
172,Rampachodavaram(ST),YSRC
173,Kovvur (SC),TDP
174,Nidadavole,TDP
175,Achanta,TDP
176,Palacole,TDP
177,Narasapuram,TDP
178,Bhimavaram,TDP
179,Undi,TDP
180,Tanuku,TDP
181,Tadepalligudem,BJP
182,Ungutur,TDP
183,Denduluru,TDP
184,Eluru,TDP
185,Gopalapuram (SC),TDP
186,Polavaram (ST),TDP
187,Chintalapudi (SC),TDP
188,Tiruvuru (SC),YSRC
189,Nuzvid,YSRC
190,Gannavaram,TDP
191,Gudivada,YSRC
192,Kaikalur,BJP
193,Pedana,TDP
194,Machilipatnam,TDP
195,Avanigadda,TDP
196,Pamarru (SC),YSRC
197,Penamaluru,TDP
198,Vijayawada West,YSRC
199,Vijayawada Central,TDP
200,Vijayawada East,TDP
201,Mylavaram,TDP
202,Nandigama (SC),TDP
203,Jaggayyapeta,TDP
204,Pedakurapadu,TDP
205,Tadikonda (SC),TDP
206,Mangalagiri,YSRC
207,Ponnur,TDP
208,Vemuru (SC),TDP
209,Repalle,TDP
210,Tenali,TDP
211,Bapatla,YSRC
212,Prathipadu (SC),TDP
213,Guntur West,TDP
214,Guntur East,YSRC
215,Chilakaluripet,TDP
216,Narasaraopet,YSRC
217,Sattenapalle,TDP
218,Vinukonda,TDP
219,Gurajala,TDP
220,Macherla,YSRC
221,Yerragondapalem (SC),YSRC
222,Darsi,TDP
223,Parchur,TDP
224,Addanki,YSRC
225,Chirala,NP
226,Santhanuthalapadu (SC),YSRC
227,Ongole,TDP
228,Kandukur,YSRC
229,Kondapi (SC),TDP
230,Markapuram,YSRC
231,Giddalur,YSRC
232,Kanigiri,TDP
233,Kavali,YSRC
234,Atmakur,YSRC
235,Kovur,TDP
236,Nellore City,YSRC
237,Nellore Rural,YSRC
238,Sarvepalli,YSRC
239,Gudur (SC),YSRC
240,Sullurpeta (SC),YSRC
241,Venkatagiri,TDP
242,Udayagiri,TDP
243,Badvel (SC),YSRC
244,Rajampet,TDP
245,Kadapa,YSRC
246,Kodur (SC),YSRC
247,Rayachoti,YSRC
248,Pulivendla,YSRC
249,Kamalapuram,YSRC
250,Jammalamadugu,YSRC
251,Proddatur,YSRC
252,Mydukur,YSRC
253,Allagadda,YSRC
254,Srisailam,YSRC
255,Nandikotkur (SC),YSRC
256,Kurnool,YSRC
257,Panyam,YSRC
258,Nandyal,YSRC
259,Banaganapalle,TDP
260,Dhone,YSRC
261,Pattikonda,TDP
262,Kodumur (SC),YSRC
263,Yemmiganur,TDP
264,Mantralayam,YSRC
265,Adoni,YSRC
266,Alur,YSRC
267,Rayadurg,TDP
268,Uravakonda,YSRC
269,Guntakal,TDP
270,Tadpatri,TDP
271,Singanamala (SC),TDP
272,Anantapur Urban,TDP
273,Kalyandurg,TDP
274,Raptadu,TDP
275,Madakasira (SC),TDP
276,Hindupur,TDP
277,Penukonda,TDP
278,Puttaparthi,TDP
279,Dharmavaram,TDP
280,Kadiri,YSRC
281,Thamballapalle,TDP
282,Pileru,YSRC
283,Madanapalle,YSRC
284,Punganur,YSRC
285,Chandragiri,YSRC
286,Tirupati,TDP
287,Srikalahasti,TDP
288,Satyavedu (SC),TDP
289,Nagari,YSRC
290,Gangadhara Nellore (SC),YSRC
291,Chittoor,TDP
292,Puthalapattu (SC),YSRC
293,Palamaner,YSRC
294,Kuppam,TDP
