PC NO(ECI),PC Name,2014 PC Result
18,ARAKU (ST),YSRC
19,SRIKAKULAM,TDP
20,VIZIANAGARAM,TDP
21,VISAKHAPATNAM,BJP
22,ANAKAPALLE,TDP
23,KAKINADA,TDP
24,AMALAPURAM (SC),TDP
25,RAJAHMUNDRY,TDP
26,NARSAPURAM,BJP
27,ELURU,TDP
28,MACHILIPATNAM,TDP
29,VIJAYAWADA,TDP
30,GUNTUR,TDP
31,NARASARAOPET,TDP
32,BAPATLA (SC),TDP
33,ONGOLE,YSRC
34,NANDYAL,YSRC
35,KURNOOL,YSRC
36,ANANTAPUR,TDP
37,HINDUPUR,TDP
38,KADAPA,YSRC
39,NELLORE,YSRC
40,TIRUPATI (SC),YSRC
41,RAJAMPET,YSRC
42,CHITTOOR (SC),TDP
