ACnum,2019 Winner
1,TDP
2,YSRC
3,TDP
4,YSRC
5,YSRC
6,YSRC
7,YSRC
8,YSRC
9,YSRC
10,YSRC
11,YSRC
12,YSRC
13,YSRC
14,YSRC
15,YSRC
16,YSRC
17,YSRC
18,YSRC
19,YSRC
20,YSRC
21,TDP
22,TDP
23,TDP
24,TDP
25,YSRC
26,YSRC
27,YSRC
28,YSRC
29,YSRC
30,YSRC
31,YSRC
32,YSRC
33,YSRC
34,YSRC
35,YSRC
36,YSRC
37,YSRC
38,YSRC
39,TDP
40,YSRC
41,YSRC
42,YSRC
43,YSRC
44,YSRC
45,JS
46,YSRC
47,YSRC
48,TDP
49,YSRC
50,TDP
51,TDP
52,YSRC
53,YSRC
54,YSRC
55,YSRC
56,YSRC
57,TDP
58,YSRC
59,YSRC
60,TDP
61,YSRC
62,YSRC
63,YSRC
64,YSRC
65,YSRC
66,YSRC
67,YSRC
68,YSRC
69,YSRC
70,YSRC
71,TDP
72,YSRC
73,YSRC
74,YSRC
75,YSRC
76,YSRC
77,YSRC
78,YSRC
79,YSRC
80,YSRC
81,TDP
82,YSRC
83,YSRC
84,YSRC
85,YSRC
86,YSRC
87,YSRC
88,YSRC
89,YSRC
90,TDP
91,YSRC
92,YSRC
93,YSRC
94,TDP
95,YSRC
96,YSRC
97,YSRC
98,YSRC
99,YSRC
100,YSRC
101,YSRC
102,YSRC
103,YSRC
104,TDP
105,TDP
106,TDP
107,YSRC
108,YSRC
109,YSRC
110,TDP
111,YSRC
112,YSRC
113,YSRC
114,YSRC
115,YSRC
116,YSRC
117,YSRC
118,YSRC
119,YSRC
120,YSRC
121,YSRC
122,YSRC
123,YSRC
124,YSRC
125,YSRC
126,YSRC
127,YSRC
128,YSRC
129,YSRC
130,YSRC
131,YSRC
132,YSRC
133,YSRC
134,YSRC
135,YSRC
136,YSRC
137,YSRC
138,YSRC
139,YSRC
140,YSRC
141,YSRC
142,YSRC
143,YSRC
144,YSRC
145,YSRC
146,YSRC
147,YSRC
148,YSRC
149,TDP
150,YSRC
151,YSRC
152,YSRC
153,YSRC
154,YSRC
155,YSRC
156,YSRC
157,TDP
158,YSRC
159,YSRC
160,YSRC
161,YSRC
162,YSRC
163,YSRC
164,YSRC
165,YSRC
166,YSRC
167,YSRC
168,YSRC
169,YSRC
170,YSRC
171,YSRC
172,YSRC
173,YSRC
174,YSRC
175,TDP
