ACnum,AC-te,2019pp,2014pp
1,ఇచ్చాపురం,70.15,71.58
2,పలాస,72.92,71.9
3,టెక్కలి,78.79,77.82
4,పాతపట్నం,70.35,73.26
5,శ్రీకాకుళం,70.01,71.88
6,ఆముదాలవలస,78.51,76.6
7,ఎచ్చెర్ల,84.3,82.43
8,నరసన్నపేట,80,78.73
9,రాజాం (ఎస్సీ),73.85,73.81
10,పాలకొండ (ఎస్టీ),73.68,71.83
11,కురుపాం (ఎస్టీ),77.38,75.33
12,పార్వతీపురం (ఎస్సీ),76.78,74.47
13,సాలూరు (ఎస్టీ),79,76.76
14,బొబ్బిలి,79.27,79.11
15,చీపురుపల్లి,83.07,81.07
16,గజపతినగరం,86.73,85.21
17,నెల్లిమర్ల,87.79,87.68
18,విజయనగరం,70.88,71.4
19,శృంగవరపుకోట,85.92,85.18
20,భీమిలి,73.9,75.06
21,విశాఖపట్నం తూర్చు,64.73,64.43
22,విశాఖపట్నం దక్షిణం,61.15,65.51
23,విశాఖపట్నం ఉత్తరం,62.65,59.73
24,విశాఖపట్నం పశ్చిమ,58.19,59.93
25,గాజువాక,65.33,64.69
26,చోడవరం,84.26,84.48
27,మాడుగుల,83.59,84.46
28,అరకులోయ (ఎస్టీ),70.45,69.58
29,పాడేరు (ఎస్టీ),61.8,59.37
30,అనకాపల్లి,77.54,78.54
31,పెందుర్తి,74.74,77.98
32,యలమంచిలి,84.49,85.46
33,పాయకరావు పేట (ఎస్సీ),81.74,80.54
34,నర్సీపట్నం,82.33,81.75
35,తుని,82.28,81.05
36,ప్రత్తిపాడు,80.92,79.94
37,పిఠాపురం,80.99,79.03
38,కాకినాడ గ్రామీణ,74.12,73.7
39,పెద్దాపురం,81.39,76.77
40,అనపర్తి,87.48,85.64
41,కాకినాడ నగరం,66.38,67.05
42,రామచంద్రపురం,87.11,87.48
43,ముమ్మడివరం,83.51,82.83
44,అమలాపురం (ఎస్సీ),82.46,77.58
45,రాజోలు (ఎస్సీ),79.44,77.18
46,పి.గన్నవరం (ఎస్సీ),83.03,77.52
47,కొత్తపేట,84.3,83.78
48,మండ పేట,85.52,87.22
49,రాజానగరం,87.47,85.63
50,రాజమహేంద్రవరం నగరం,66.34,68.64
51,రాజమహేంద్రవరం గ్రామీణ,73.45,73.44
52,జగ్గంపేట,85.88,83.39
53,రంపచోడవరం (ఎస్టీ),78.04,75.52
54,కొవ్వూరు (ఎస్సీ),86.17,84.82
55,నిడదవోలు,87.13,85.32
56,ఆచంట,81.46,81.37
57,పాలకొల్లు,81.55,82.64
58,నర్భాపురం,82.09,83.32
59,భీమవరం,77.6,77.68
60,ఉండి,84.73,86.14
61,తణుకు,80,81.27
62,తాడేపల్లిగూడెం,80.43,81
